,county_name,latitude,longitude,flag
0,Abbotsbury,-33.8692846,150.8667029,1
1,Abbotsford,-33.8505529,151.129759,1
2,Acacia Gardens,-33.7324595,150.9125321,1
3,Agnes Banks,-33.6145082,150.7114482,1
4,Airds,-34.09,150.8261111,1
5,Alexandria,-33.9091568,151.1921281,1
6,Alfords Point,-33.9839091,151.0241615,1
7,Allambie Heights,-33.7705067,151.249675,1
8,Allawah,-33.9696293,151.1142847,1
9,Ambarvale,-34.0844252,150.8017477,1
10,Annandale,-33.881224,151.1709976,1
11,Annangrove,-33.6574838,150.9460077,1
12,Arcadia,-33.6227289,151.0605602,1
13,Arncliffe,-33.938236,151.145508,1
14,Arndell Park,-33.79,150.8761111,1
15,Artarmon,-33.808955,151.1853088,1
16,Ashbury,-33.9001107,151.1180724,1
17,Ashcroft,-33.915,150.9011111,1
18,Ashfield,-33.8894781,151.1274125,1
19,Asquith,-33.6871935,151.1110257,1
20,Auburn,-33.8545702,151.0255673,1
21,Austral,-33.9282672,150.8082824,1
22,Avalon Beach,-33.6365039,151.3290299,1
23,Badgerys Creek,-33.9147851,150.7059611,1
24,Balgowlah,-33.7944424,151.2608261,1
25,Balgowlah Heights,-33.807495,151.2649923,1
26,Balmain,-33.8583992,151.1807353,1
27,Balmain East,-33.8571789,151.192354,1
28,Bangor,-34.0155034,151.0334872,1
29,Banksia,-33.9448646,151.1402066,1
30,Banksmeadow,-33.9542459,151.2157073,1
31,Bankstown,-33.9171897,151.0335881,1
32,Bankstown Aerodrome,-33.9235,150.9901,1
33,Barangaroo,-33.8614084,151.2016877,1
34,Barden Ridge,-34.0311727,151.0105268,1
35,Bardia,-33.9763948,150.8604327,1
36,Bardwell Park,-33.9355556,151.1238889,1
37,Bardwell Valley,-33.937452,151.1304335,1
38,Bass Hill,-33.8986251,150.9974484,1
39,Baulkham Hills,-33.7611198,150.9914041,1
40,Bayview,-33.6576847,151.2866735,1
41,Beacon Hill,-33.751787,151.2600828,1
42,Beaconsfield,-33.9114691,151.200315,1
43,Beaumont Hills,-33.6997222,150.9405556,1
44,Beecroft,-33.7497631,151.0657475,1
45,Belfield,-33.9045165,151.0860013,1
46,Bella Vista,-33.7416936,150.9547183,1
47,Bellevue Hill,-33.8797123,151.2561988,1
48,Belmore,-33.9194073,151.0878936,1
49,Belrose,-33.730009,151.2191438,1
50,Berala,-33.8753943,151.0343253,1
51,Berkshire Park,-33.6816667,150.7844444,1
52,Berowra,-33.6264261,151.1473881,1
53,Berowra Creek,-33.7109343,151.0640894,1
54,Berowra Heights,-33.6095775,151.1373221,1
55,Berowra Waters,-33.5994177,151.1229517,1
56,Berrilee,-33.6127484,151.1055143,1
57,Beverley Park,-33.9787995,151.1316285,1
58,Beverly Hills,-33.9497444,151.0817342,1
59,Bexley,-33.9523543,151.1181427,1
60,Bexley North,-33.9425365,151.1152081,1
61,Bickley Vale,-34.0789563,150.6617103,1
62,Bidwill,-33.7319476,150.823408,1
63,Bilgola Beach,-33.6443165,151.324484,1
64,Bilgola Plateau,-33.6438092,151.315858,1
65,Birchgrove,-33.8507685,151.1830352,1
66,Birrong,-33.8918622,151.0201957,1
67,Blackett,-33.7372232,150.815,1
68,Blacktown,-33.7739882,150.9036186,1
69,Blair Athol,-34.0627778,150.7997222,1
70,Blairmount,-34.0483333,150.7927778,1
71,Blakehurst,-33.9898519,151.1085596,1
72,Bligh Park,-33.6383333,150.7980556,1
73,Bondi,-33.8930556,151.2633333,1
74,Bondi Beach,-33.8906977,151.2724119,1
75,Bondi Junction,-33.8930034,151.2501228,1
76,Bonnet Bay,-34.0101087,151.053572,1
77,Bonnyrigg,-33.8936698,150.888281,1
78,Bonnyrigg Heights,-33.8912101,150.8695795,1
79,Bossley Park,-33.8622222,150.8844444,1
80,Botany,-33.947829,151.1990644,1
81,Bow Bowing,-34.0161463,150.8405606,1
82,Box Hill,-33.6425,150.8988889,1
83,Bradbury,-34.0816667,150.8177778,1
84,Breakfast Point,-33.8422769,151.1111054,1
85,Brighton-Le-Sands,-33.9580947,151.1526052,1
86,Bringelly,-33.9393505,150.7309705,1
87,Bronte,-33.9042128,151.2637774,1
88,Brooklyn,-33.5469129,151.2265249,1
89,Brookvale,-33.7628854,151.2707024,1
90,Bundeena,-34.0845443,151.1512348,1
91,Bungarribee,-33.7822832,150.86499,1
92,Burraneer,-34.0644603,151.1377905,1
93,Burwood,-33.8784753,151.104049,1
94,Burwood Heights,-33.8894444,151.1038889,1
95,Busby,-33.915,150.8844444,1
96,Cabarita,-33.8475029,151.1158878,1
97,Cabramatta,-33.8983188,150.9344502,1
98,Cabramatta West,-33.8916949,150.914639,1
99,Caddens,-33.773603,150.7288643,1
100,Cambridge Gardens,-33.7377967,150.7205556,1
101,Cambridge Park,-33.7501365,150.7269025,1
102,Camden,-34.0532323,150.6961705,1
103,Camden South,-34.0829554,150.6966472,1
104,Camellia,-33.8197799,151.0346488,1
105,Cammeray,-33.8222738,151.2139868,1
106,Campbelltown,-34.0636914,150.8206159,1
107,Camperdown,-33.8896116,151.1800986,1
108,Campsie,-33.9143894,151.1032133,1
109,Canada Bay,-33.8646692,151.1151554,1
110,Canley Heights,-33.8816667,150.9261111,1
111,Canley Vale,-33.8871356,150.9462342,1
112,Canoelands,-33.4990952,151.0807415,1
113,Canterbury,-33.9130231,151.1170149,1
114,Caringbah,-34.0354477,151.1248018,1
115,Caringbah South,-34.0554491,151.1205937,1
116,Carlingford,-33.7744947,151.0475215,1
117,Carlton,-33.9707904,151.1213704,1
118,Carnes Hill,-33.9378294,150.8504602,1
119,Carramar,-33.8838889,150.9636111,1
120,Carss Park,-33.9869843,151.1169446,1
121,Cartwright,-33.9250864,150.8913549,1
122,Castle Cove,-33.7865285,151.2143187,1
123,Castle Hill,-33.7315318,151.0071718,1
124,Castlecrag,-33.8003455,151.2197795,1
125,Castlereagh,-33.6647962,150.6844521,1
126,Casula,-33.9522222,150.8952778,1
127,Catherine Field,-33.9926657,150.7650245,1
128,Cattai,-33.5482394,150.9164045,1
129,Cawdor,-34.0996474,150.6726512,1
130,Cecil Hills,-33.89,150.8511111,1
131,Cecil Park,-33.8922547,150.8135524,1
132,Centennial Park,-33.8977778,151.2338889,1
133,Central Business District,-33.85719805,151.21512338473752,1
134,Chatswood,-33.7944797,151.1818571,1
135,Chatswood West,-33.7960029,151.1597081,1
136,Cheltenham,-33.7569444,151.0775,1
137,Cherrybrook,-33.7227778,151.0461111,1
138,Chester Hill,-33.8816667,151.0011111,1
139,Chifley,-33.9702813,151.2394867,1
140,Chippendale,-33.8863291,151.1998211,1
141,Chipping Norton,-33.919687,150.9630711,1
142,Chiswick,-33.8498337,151.1378781,1
143,Chullora,-33.8925,151.0477778,1
144,Church Point,-33.6500957,151.2853102,1
145,Claremont Meadows,-33.7691667,150.7483333,1
146,Clarendon,-33.6105511,150.7888909,1
147,Clareville,-33.6320071,151.3145323,1
148,Claymore,-34.0469444,150.81,1
149,Clemton Park,-33.9258322,151.1029075,1
150,Clontarf,-33.8072973,151.2540699,1
151,Clovelly,-33.9126387,151.2617904,1
152,Clyde,-33.833532,151.0218891,1
153,Coasters Retreat,-33.6048099,151.2988042,1
154,Cobbitty,-33.896256199999996,151.1007201558444,1
155,Colebee,-33.7270077,150.8521783,1
156,Collaroy,-33.7382194,151.2996618,1
157,Collaroy Plateau,-33.7303841,151.2910394,1
158,Colyton,-33.7822222,150.7958333,1
159,Como,-34.0032179,151.0631257,1
160,Concord,-33.8556716,151.1067667,1
161,Concord West,-33.843168,151.0920563,1
162,Condell Park,-33.9227852,151.0113144,1
163,Connells Point,-33.9869476,151.0942725,1
164,Constitution Hill,-33.7952082,150.9727813,1
165,Coogee,-33.9217004,151.2557975,1
166,Cornwallis,-33.59,150.8094444,1
167,Cottage Point,-33.6195161,151.203318,1
168,Cowan,-33.5888297,151.1698568,1
169,Cranebrook,-33.7048583,150.70641,1
170,Cremorne,-33.8260081,151.2254326,1
171,Cremorne Point,-33.8409547,151.2279762,1
172,Cromer,-33.7385227,151.2762995,1
173,Cronulla,-34.0575259,151.1523851,1
174,Crows Nest,-33.8255649,151.2036095,1
175,Croydon,-33.8777935,151.1156502,1
176,Croydon Park,-33.8975316,151.1024641,1
177,Curl Curl,-33.7698341,151.2898175,1
178,Currans Hill,-34.0463519,150.7712456,1
179,Currawong Beach,-33.5952267,151.2987319,1
180,Daceyville,-33.9289328,151.2251839,1
181,Dangar Island,-33.5387077,151.239494,1
182,Darling Point,-33.8730723,151.2376378,1
183,Darlinghurst,-33.8783381,151.219225,1
184,Darlington,-33.890862,151.1932156,1
185,Davidson,-33.7398592,151.1942222,1
186,Dawes Point,-33.8572223,151.2067756,1
187,Dean Park,-33.7328296,150.852577,1
188,Dee Why,-33.7536635,151.2899954,1
189,Denham Court,-33.9813889,150.8294444,1
190,Denistone,-33.7989066,151.0887,1
191,Denistone East,-33.7962842,151.0982887,1
192,Denistone West,-33.8005739,151.0767642,1
193,Dharruk,-33.7480556,150.8147222,1
194,Dolans Bay,-34.0644424,151.1282277,1
195,Dolls Point,-33.9936111,151.1447222,1
196,Doonside,-33.7549501,150.8685985,1
197,Double Bay,-33.8766373,151.24245,1
198,Dover Heights,-33.8739831,151.2810366,1
199,Drummoyne,-33.8520678,151.153689,1
200,Duffys Forest,-33.6733265,151.1927796,1
201,Dulwich Hill,-33.9045849,151.1386091,1
202,Dundas,-33.802949,151.0440587,1
203,Dundas Valley,-33.7936744,151.0559069,1
204,Dural,-33.6876398,151.0267199,1
205,Eagle Vale,-34.0377778,150.8111111,1
206,Earlwood,-33.9247222,151.1313889,1
207,East Gordon,-33.7553899,151.1518099,1
208,East Hills,-33.960853,150.9879189,1
209,East Killara,-33.7554823,151.1811998,1
210,East Kurrajong,-33.515,150.7677778,1
211,East Lindfield,-33.7681132,151.1883362,1
212,East Ryde,-33.8097017,151.1353884,1
213,Eastern Creek,-33.6750568,150.8533885,1
214,Eastgardens,-33.9447657,151.2250921,1
215,Eastlakes,-33.9310733,151.2113667,1
216,Eastwood,-33.79,151.0844444,1
217,Ebenezer,-33.5166293,150.8874434,1
218,Edensor Park,-33.8802849,150.8762602,1
219,Edgecliff,-33.8797692,151.2361116,1
220,Edmondson Park,-33.9628336,150.8563294,1
221,Elanora Heights,-33.6994613,151.2750587,1
222,Elderslie,-34.0590289,150.715403,1
223,Elizabeth Bay,-33.8716908,151.2282875,1
224,Elizabeth Hills,-33.9002288,150.8487942,1
225,Ellis Lane,-34.034956,150.6732584,1
226,Elvina Bay,-33.6377531,151.2802489,1
227,Emerton,-33.7477024,150.8043608,1
228,Emu Heights,-33.7372235,150.6511051,1
229,Emu Plains,-33.7483333,150.6677778,1
230,Enfield,-33.8900628,151.0959145,1
231,Engadine,-34.0650134,151.0138225,1
232,Englorie Park,-34.0806577,150.7950629,1
233,Enmore,-33.8996968,151.170986,1
234,Epping,-33.7718546,151.0745367,1
235,Ermington,-33.8101156,151.0600559,1
236,Erskine Park,-33.8086111,150.8013889,1
237,Erskineville,-33.9021718,151.1859881,1
238,Eschol Park,-34.0316667,150.8011111,1
239,Eveleigh,-33.895,151.1913889,1
240,Fairfield,-33.8728065,150.9523529,1
241,Fairfield East,-33.8747423,150.9721298,1
242,Fairfield Heights,-33.8662814,150.9395106,1
243,Fairfield West,-33.8689308,150.9243383,1
244,Fairlight,-33.7938789,151.2741471,1
245,Fiddletown,-33.5569323,151.0844279,1
246,Five Dock,-33.8690024,151.1290231,1
247,Flemington,-33.8648618,151.0699551,1
248,Forest Glen,-33.5483333,151.0177778,1
249,Forest Lodge,-33.8805556,151.1783333,1
250,Forestville,-33.7620891,151.2150889,1
251,Freemans Reach,-33.5632311,150.8024693,1
252,Frenchs Forest,-33.7479954,151.2292718,1
253,Freshwater,-33.7750987,151.2844815,1
254,Galston,-33.6467002,151.0642498,1
255,Georges Hall,-33.9101113,150.9879924,1
256,Gilead,-34.115,150.7844444,1
257,Girraween,-33.7983305,150.9427707,1
258,Gladesville,-33.8275,151.1263889,1
259,Glebe,-33.8777782,151.1862377,1
260,Gledswood Hills,-34.0102826,150.78002,1
261,Glen Alpine,-34.09,150.7844444,1
262,Glendenning,-33.7483333,150.8511111,1
263,Glenfield,-33.9733455,150.8957217,1
264,Glenhaven,-33.7027383,151.0008049,1
265,Glenmore Park,-33.7887972,150.669496,1
266,Glenorie,-33.5658885,150.9927835,1
267,Glenwood,-33.7331483,150.928232,1
268,Glossodia,-33.5334431,150.7853962,1
269,Gordon,-33.7553899,151.1518099,1
270,Granville,-33.8345097,151.0060111,1
271,Grasmere,-34.0579584,150.6707384,1
272,Grays Point,-34.0591451,151.0786995,1
273,Great Mackerel Beach,-33.591505,151.2988852,1
274,Green Valley,-33.9024601,150.8674187,1
275,Greenacre,-33.9022902,151.058546,1
276,Greendale,-33.9150012,150.6677734,1
277,Greenfield Park,-33.8752778,150.8919444,1
278,Greenhills Beach,-34.0360657,151.1632914,1
279,Greenwich,-33.8300104,151.1855621,1
280,Gregory Hills,-34.0276672,150.7761923,1
281,Greystanes,-33.8262187,150.9414378,1
282,Grose Vale,-33.5764147,150.6552959,1
283,Grose Wold,-33.6030113,150.6745178,1
284,Guildford,-33.8561049,150.9939232,1
285,Guildford West,-33.8483084,150.9657421,1
286,Gymea,-34.0341447,151.085653,1
287,Gymea Bay,-34.0522918,151.0970783,1
288,Haberfield,-33.8794325,151.1391605,1
289,Hammondville,-33.9511518,150.9608619,1
290,Harrington Park,-34.0247325,150.7422344,1
291,Harris Park,-33.8224029,151.0117558,1
292,Hassall Grove,-33.7316667,150.8344444,1
293,Haymarket,-33.8814408,151.2044524,1
294,Heathcote,-34.0848266,151.007392,1
295,Hebersham,-33.7455739,150.8253839,1
296,Heckenberg,-33.9077778,150.8913889,1
297,Henley,-33.8423815,151.1360364,1
298,Hillsdale,-33.9529465,151.2274123,1
299,Hinchinbrook,-33.9159661,150.8645957,1
300,Hobartville,-33.604718,150.7436152,1
301,Holroyd,-33.8297155,150.9974898,1
302,Holsworthy,-33.9597307,150.9502719,1
303,Homebush,-33.860451,151.0806118,1
304,Homebush West,-33.8619802,151.0665026,1
305,Horningsea Park,-33.9460804,150.8432271,1
306,Hornsby,-33.6980331,151.0957334,1
307,Hornsby Heights,-33.6589881,151.098374,1
308,Horsley Park,-33.8387723,150.8484629,1
309,Hoxton Park,-33.9294022,150.8560164,1
310,Hunters Hill,-33.8336171,151.1449446,1
311,Huntingwood,-33.797973,150.881592,1
312,Huntleys Cove,-33.8383333,151.1375,1
313,Huntleys Point,-33.8422131,151.1419664,1
314,Hurlstone Park,-33.91,151.1286111,1
315,Hurstville,-33.960707,151.1003611,1
316,Hurstville Grove,-33.9775526,151.0929579,1
317,Illawong,-33.9973348,151.0429726,1
318,Ingleburn,-33.9983333,150.8511111,1
319,Ingleside,-33.6882558,151.2525009,1
320,Jamisontown,-33.7679769,150.674815,1
321,Jannali,-34.0163159,151.0658096,1
322,Jordan Springs,-33.7250215,150.7271271,1
323,Kangaroo Point,-34.002073,151.0967132,1
324,Kareela,-34.0157553,151.0812662,1
325,Kearns,-34.0233333,150.8011111,1
326,Kellyville,-33.7158272,150.954993,1
327,Kellyville Ridge,-33.7025,150.9186111,1
328,Kemps Creek,-33.8721433,150.7938975,1
329,Kensington,-33.9117191,151.2195058,1
330,Kenthurst,-33.6436678,150.9761716,1
331,Kentlyn,-34.0591667,150.8697222,1
332,Killara,-33.7660606,151.1601121,1
333,Killarney Heights,-33.7724836,151.221976,1
334,Kings Langley,-33.7505506,150.9372174,1
335,Kings Park,-33.7433333,150.9086111,1
336,Kingsford,-33.9215922,151.2272307,1
337,Kingsgrove,-33.9371844,151.0996523,1
338,Kingswood,-33.7613772,150.7213283,1
339,Kingswood Park,-33.7613772,150.7213283,1
340,Kirkham,-34.0351341,150.711839,1
341,Kirrawee,-34.0344781,151.0726428,1
342,Kirribilli,-33.8476659,151.2158138,1
343,Kogarah,-33.968226,151.1354509,1
344,Kogarah Bay,-33.9816792,151.1239702,1
